"No.","Time","Source","Destination","Protocol","Length","Info"
"11530","273.764000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11531","273.766856","","","IEEE 802.15.4","5","Ack"
"11532","273.862000","fe80::206:6:6:6","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11533","273.864856","","","IEEE 802.15.4","5","Ack"
"11534","273.882000","fe80::201:1:1:1","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11535","273.884856","","","IEEE 802.15.4","5","Ack"
"11536","274.125000","fe80::20f:f:f:f","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11537","274.127856","","","IEEE 802.15.4","5","Ack"
"11538","274.157000","fe80::213:13:13:13","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11539","274.159856","","","IEEE 802.15.4","5","Ack"
"11540","274.162000","fe80::20b:b:b:b","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11541","274.191000","fe80::211:11:11:11","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11542","274.193856","","","IEEE 802.15.4","5","Ack"
"11543","274.216000","fe80::20e:e:e:e","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11544","274.237000","fe80::211:11:11:11","fe80::20b:b:b:b","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11545","274.239856","","","IEEE 802.15.4","5","Ack"
"11546","274.279000","fe80::206:6:6:6","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11547","274.372000","fe80::216:16:16:16","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11548","274.374856","","","IEEE 802.15.4","5","Ack"
"11549","274.394000","fe80::205:5:5:5","ff02::1a","ICMPv6","27","RPL Control (DODAG Information Solicitation)"
"11550","274.413000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11551","274.416000","fe80::214:14:14:14","fe80::20b:b:b:b","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11552","274.418856","","","IEEE 802.15.4","5","Ack"
"11553","274.425000","fe80::20f:f:f:f","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11554","274.427856","","","IEEE 802.15.4","5","Ack"
"11555","274.428000","fe80::218:18:18:18","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11556","274.430856","","","IEEE 802.15.4","5","Ack"
"11557","274.436000","fe80::20b:b:b:b","fe80::20d:d:d:d","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11558","274.438856","","","IEEE 802.15.4","5","Ack"
"11559","274.451000","fe80::209:9:9:9","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11560","274.456000","fe80::214:14:14:14","fe80::20b:b:b:b","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11561","274.458856","","","IEEE 802.15.4","5","Ack"
"11562","274.463000","fe80::20b:b:b:b","fe80::20d:d:d:d","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11563","274.465856","","","IEEE 802.15.4","5","Ack"
"11564","274.476000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11565","274.478856","","","IEEE 802.15.4","5","Ack"
